siteID,runID,year,genus,species,degday_death,drought_death,shade_death,perm_death,flood_death,nutrient_death,fire_death,harv_death,wind_death,mean_diam,total_biomC,total_biomC_sd
632,2,30,Larix,LARIlari,0.00000,0.00000,0.329186E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.98062,0.329186E-01,0.561777E-01
632,2,30,Picea,PICEglau,0.00000,0.00000,0.497301E-01,0.00000,0.00000,0.507694E-03,0.00000,0.00000,0.00000,2.89079,0.502378E-01,0.679350E-01
632,2,30,Picea,PICEmari,0.00000,0.00000,0.144980,0.00000,0.00000,0.274327E-02,0.00000,0.00000,0.00000,3.97226,0.147723,0.126175
632,2,30,Populus,POPUbals,0.00000,0.00000,0.303730E-01,0.00000,0.00000,0.789833,0.00000,0.00000,0.00000,7.29536,0.820206,1.38588
632,2,30,Populus,POPUtrem,0.00000,0.00000,0.220744,0.00000,0.00000,0.504929E-01,0.00000,0.00000,0.00000,5.44163,0.271237,0.333335
632,2,30,Salix,SALIscou,0.00000,0.00000,0.198002E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.231958,0.198002E-02,0.134779E-01
632,2,35,Alnus,ALNUsinu,0.00000,0.00000,0.268684E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.795793,0.268684E-01,0.135356
632,2,35,Alnus,ALNUtenu,0.00000,0.00000,0.349907,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.58742,0.349907,0.493021
632,2,35,Betula,BETUneoa,0.00000,0.00000,0.171159E-02,0.00000,0.226174,0.00000,0.00000,0.00000,0.00000,4.70495,0.227886,0.326345
632,2,35,Larix,LARIlari,0.00000,0.00000,0.428555E-01,0.00000,0.523024E-02,0.00000,0.00000,0.00000,0.00000,2.07993,0.480858E-01,0.871896E-01
632,2,35,Picea,PICEglau,0.00000,0.00000,0.598054E-04,0.00000,0.704390E-01,0.00000,0.00000,0.00000,0.00000,3.02366,0.704988E-01,0.106533
632,2,35,Picea,PICEmari,0.00000,0.00000,0.663517E-01,0.00000,0.117138,0.00000,0.00000,0.00000,0.00000,4.52344,0.183490,0.158942
632,2,35,Populus,POPUbals,0.00000,0.00000,0.130511E-02,0.00000,1.12070,0.00000,0.00000,0.00000,0.00000,6.37358,1.12200,2.41848
632,2,35,Populus,POPUtrem,0.00000,0.00000,0.131443E-03,0.00000,0.358572,0.00000,0.00000,0.00000,0.00000,5.47752,0.358703,0.510361
632,2,35,Salix,SALIscou,0.00000,0.00000,0.229510E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.204576,0.229510E-02,0.181654E-01
632,2,40,Alnus,ALNUsinu,0.00000,0.00000,0.813937E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.210407,0.813937E-02,0.802345E-01
632,2,40,Alnus,ALNUtenu,0.00000,0.00000,0.159785,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.52477,0.159785,0.378883
632,2,40,Betula,BETUneoa,0.00000,0.00000,0.275994,0.00000,0.00000,0.479278E-02,0.00000,0.00000,0.00000,4.47442,0.280787,0.467749
632,2,40,Larix,LARIlari,0.00000,0.00000,0.467698E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.86383,0.467698E-01,0.100594
632,2,40,Picea,PICEglau,0.00000,0.00000,0.865397E-01,0.00000,0.00000,0.121644E-01,0.00000,0.00000,0.00000,3.23167,0.987041E-01,0.159125
632,2,40,Picea,PICEmari,0.00000,0.00000,0.258356,0.00000,0.00000,0.133493E-01,0.00000,0.00000,0.00000,4.68324,0.271705,0.251875
632,2,40,Populus,POPUbals,0.00000,0.00000,0.107687E-01,0.00000,0.00000,0.912461,0.00000,0.00000,0.00000,4.11293,0.923229,3.04260
632,2,40,Populus,POPUtrem,0.00000,0.00000,0.171507,0.00000,0.00000,0.201835,0.00000,0.00000,0.00000,4.49375,0.373342,0.661046
632,2,40,Salix,SALIscou,0.00000,0.00000,0.687956E-03,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.521642E-01,0.687956E-03,0.972916E-02
632,2,45,Alnus,ALNUsinu,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,45,Alnus,ALNUtenu,0.00000,0.00000,0.703681E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.91644,0.703681E-01,0.239361
632,2,45,Betula,BETUneoa,0.00000,0.00000,0.252617,0.00000,0.00000,0.181952E-01,0.00000,0.00000,0.00000,4.10213,0.270812,0.495088
632,2,45,Larix,LARIlari,0.00000,0.00000,0.820935E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.37772,0.820936E-01,0.165003
632,2,45,Picea,PICEglau,0.00000,0.00000,0.100971,0.00000,0.00000,0.358504E-01,0.00000,0.00000,0.00000,3.62865,0.136821,0.225601
632,2,45,Picea,PICEmari,0.00000,0.00000,0.356322,0.00000,0.00000,0.301447E-01,0.00000,0.00000,0.00000,4.07189,0.386467,0.364561
632,2,45,Populus,POPUbals,0.00000,0.00000,0.218971E-01,0.00000,0.00000,0.736697,0.00000,0.00000,0.00000,2.85796,0.758594,3.00467
632,2,45,Populus,POPUtrem,0.00000,0.00000,0.956834E-01,0.00000,0.00000,0.194361,0.00000,0.00000,0.00000,3.36049,0.290044,0.668088
632,2,45,Salix,SALIscou,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,50,Alnus,ALNUsinu,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,50,Alnus,ALNUtenu,0.00000,0.00000,0.377611E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00514,0.377611E-01,0.176051
632,2,50,Betula,BETUneoa,0.00000,0.00000,0.197818,0.00000,0.00000,0.731101E-01,0.00000,0.00000,0.00000,3.27324,0.270928,0.648999
632,2,50,Larix,LARIlari,0.00000,0.00000,0.735205E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.89278,0.735205E-01,0.172590
632,2,50,Picea,PICEglau,0.00000,0.00000,0.109409,0.00000,0.00000,0.667732E-01,0.00000,0.00000,0.00000,3.59813,0.176182,0.321299
632,2,50,Picea,PICEmari,0.00000,0.00000,0.367932,0.00000,0.00000,0.420224E-01,0.00000,0.00000,0.00000,4.43725,0.409955,0.366095
632,2,50,Populus,POPUbals,0.00000,0.00000,0.109602E-03,0.00000,0.00000,0.765037,0.00000,0.00000,0.00000,2.06145,0.765147,3.92836
632,2,50,Populus,POPUtrem,0.00000,0.00000,0.156835,0.00000,0.00000,0.291869,0.00000,0.00000,0.00000,4.03913,0.448704,1.01389
632,2,50,Salix,SALIscou,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,55,Alnus,ALNUsinu,0.00000,0.00000,0.343996E-04,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.106149E-01,0.343996E-04,0.486484E-03
632,2,55,Alnus,ALNUtenu,0.00000,0.00000,0.190566E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.487820,0.190566E-01,0.129344
632,2,55,Betula,BETUneoa,0.00000,0.00000,0.111543,0.599164E-01,0.00000,0.686647E-01,0.00000,0.00000,0.00000,2.78422,0.240125,0.657980
632,2,55,Larix,LARIlari,0.00000,0.00000,0.712191E-01,0.213834E-01,0.00000,0.00000,0.00000,0.00000,0.00000,1.97434,0.926024E-01,0.223791
632,2,55,Picea,PICEglau,0.00000,0.00000,0.812298E-01,0.313892E-01,0.00000,0.682703E-01,0.00000,0.00000,0.00000,2.89742,0.180889,0.401014
632,2,55,Picea,PICEmari,0.00000,0.00000,0.373325,0.681304E-01,0.00000,0.343818E-01,0.00000,0.00000,0.00000,4.69649,0.475837,0.424585
632,2,55,Populus,POPUbals,0.00000,0.00000,0.473627E-04,0.00000,0.00000,0.373667,0.00000,0.00000,0.00000,0.973302,0.373714,2.69252
632,2,55,Populus,POPUtrem,0.00000,0.00000,0.483078E-01,0.187922E-01,0.00000,0.196419,0.00000,0.00000,0.00000,1.94614,0.263519,1.08775
632,2,55,Salix,SALIscou,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,60,Alnus,ALNUsinu,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,60,Alnus,ALNUtenu,0.00000,0.00000,0.127732E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.294949,0.127732E-01,0.105518
632,2,60,Betula,BETUneoa,0.00000,0.00000,0.114921,0.00000,0.00000,0.115956,0.00000,0.00000,0.00000,2.08345,0.230877,0.836830
632,2,60,Larix,LARIlari,0.00000,0.00000,0.756356E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.49189,0.756356E-01,0.244264
632,2,60,Picea,PICEglau,0.00000,0.00000,0.134709,0.00000,0.00000,0.164633,0.00000,0.00000,0.00000,4.25087,0.299342,0.559923
632,2,60,Picea,PICEmari,0.00000,0.00000,0.480708,0.00000,0.00000,0.750851E-01,0.00000,0.00000,0.00000,5.05185,0.555793,0.580670
632,2,60,Populus,POPUbals,0.00000,0.00000,0.533888E-01,0.00000,0.00000,0.798890,0.00000,0.00000,0.00000,2.12997,0.852279,5.33265
632,2,60,Populus,POPUtrem,0.00000,0.00000,0.219903E-01,0.00000,0.00000,0.250686,0.00000,0.00000,0.00000,1.81950,0.272676,1.19430
632,2,60,Salix,SALIscou,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,65,Alnus,ALNUsinu,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,65,Alnus,ALNUtenu,0.00000,0.00000,0.153060E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.358330,0.153060E-01,0.119293
632,2,65,Betula,BETUneoa,0.00000,0.00000,0.896618E-01,0.395263E-01,0.00000,0.135076,0.00000,0.00000,0.00000,2.23274,0.264264,0.907098
632,2,65,Larix,LARIlari,0.00000,0.00000,0.459676E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.11807,0.459676E-01,0.182498
632,2,65,Picea,PICEglau,0.00000,0.00000,0.696343E-01,0.100488E-01,0.00000,0.213841,0.00000,0.00000,0.00000,3.80528,0.293525,0.617915
632,2,65,Picea,PICEmari,0.00000,0.00000,0.509812,0.138684E-01,0.00000,0.582293E-01,0.00000,0.00000,0.00000,5.34862,0.581909,0.569743
632,2,65,Populus,POPUbals,0.00000,0.00000,0.198171E-01,0.00000,0.00000,0.152154,0.00000,0.00000,0.00000,0.653844,0.171971,2.16491
632,2,65,Populus,POPUtrem,0.00000,0.00000,0.152020E-01,0.772165E-03,0.00000,0.235693,0.00000,0.00000,0.00000,1.62029,0.251667,1.05965
