siteID,runID,year,odepth,odepth_sd,mdepth,moss_biom,active,OM,OM_N,flit_cornus,flit_acerfrax,flit_prunus,flit_betula,flit_queralba,flit_tsugthuj,flit_populus,flit_fagus,flit_querrubr,flit_abies,flit_picea,flit_pinus,flit_roots,flit_smboles,flit_lboles,flit_twigs,flit_smbranch,flit_lbranch,flit_WDW,flit_moss,lit_cornus,lit_acerfrax,lit_prunus,lit_betula,lit_queralba,lit_tsugthuj,lit_populus,lit_fagus,lit_querrubr,lit_abies,lit_picea,lit_pinus,lit_roots,lit_smboles,lit_lboles,lit_twigs,lit_smbranch,lit_lbranch,lit_WDW,lit_moss,avail_n
632,2,100,17.6737,1.19242,0.228460E-01,41.1227,105.567,66.5777,1.12630,0.00000,0.00000,0.00000,0.545339,0.00000,0.00000,0.176490,0.00000,0.00000,0.00000,11.9519,2.63821,9.82962,0.686159,40.9143,1.78559,2.92785,8.32400,7.57050,0.100524,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,61.5553
632,2,105,17.5942,1.34496,0.206335E-01,37.1402,105.990,67.7268,1.14009,0.00000,0.00000,0.00000,0.427897,0.00000,0.00000,0.959078E-01,0.00000,0.00000,0.00000,11.2415,2.45908,10.1940,0.601940,41.2542,1.98083,3.24798,9.23418,6.90190,0.991514E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,68.4197
632,2,110,17.5062,1.39703,0.282874E-01,50.9173,110.013,66.8943,1.12127,0.00000,0.00000,0.00000,0.332895,0.00000,0.00000,0.776658E-01,0.00000,0.00000,0.00000,11.4398,2.52373,9.72576,0.566935,41.0304,1.87231,3.07003,8.72826,6.53858,0.110851,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,54.9461
632,2,115,17.6299,1.46244,0.342858E-01,61.7145,111.778,67.2655,1.12445,0.00000,0.00000,0.00000,0.248811,0.00000,0.00000,0.761827E-01,0.00000,0.00000,0.00000,11.6711,2.52422,9.04851,0.594886,40.5817,1.75140,2.87178,8.16461,6.04463,0.131592,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,63.7056
632,2,120,18.1653,1.57979,0.382444E-01,68.8399,102.220,67.1188,1.11895,0.00000,0.00000,0.00000,0.200339,0.00000,0.00000,0.694900E-01,0.00000,0.00000,0.00000,13.2126,2.47847,9.79029,0.694191,40.3080,1.84275,3.02157,8.59047,6.27560,0.174303,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43.8973
632,2,125,18.3281,1.69455,0.410642E-01,73.9156,105.021,66.9303,1.11217,0.00000,0.00000,0.00000,0.130398,0.00000,0.00000,0.634453E-01,0.00000,0.00000,0.00000,13.9107,2.28110,10.3718,0.815879,40.1399,1.88588,3.09230,8.79155,6.04181,0.209632,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,45.8613
632,2,130,18.2212,1.76012,0.432841E-01,77.9114,103.746,66.7668,1.10541,0.00000,0.00000,0.00000,0.883189E-01,0.00000,0.00000,0.633295E-01,0.00000,0.00000,0.00000,14.0700,1.89216,10.3121,0.938186,39.4740,1.85872,3.04776,8.66493,5.84444,0.233805,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,42.4633
632,2,135,18.2339,1.90575,0.443876E-01,79.8976,105.048,67.3320,1.11283,0.00000,0.00000,0.00000,0.491160E-01,0.00000,0.00000,0.579925E-01,0.00000,0.00000,0.00000,13.9979,1.68687,9.93896,1.09615,38.5978,1.88201,3.08594,8.77349,5.85653,0.245696,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,48.0315
632,2,140,18.5514,2.01059,0.457970E-01,82.4347,111.337,67.1743,1.10831,0.00000,0.00000,0.00000,0.392674E-01,0.00000,0.00000,0.525350E-01,0.00000,0.00000,0.00000,14.9108,1.64436,11.2259,1.20390,38.2884,2.01860,3.30991,9.41024,6.03844,0.267630,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,48.8292
632,2,145,18.2357,2.19804,0.481341E-01,86.6415,104.636,66.9239,1.10164,0.00000,0.00000,0.00000,0.174788E-01,0.00000,0.00000,0.314281E-01,0.00000,0.00000,0.00000,14.4175,1.40229,10.6777,1.16507,37.2980,1.94852,3.19500,9.08354,6.08072,0.280085,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,45.7338
