siteID,runID,year,rain,pet,solar_rad,thaw_depth,organic_depth,avail_n,aet,grow,pc_germ,degd,drydays,saw0_ByFC,saw0_BySAT,aow0_ByMin,wilt_days,flood_d
291,1,60,30.1677,27.3507,76522.1,84.1391,23.0077,40.7345,12.0228,129.000,0.915678,723.318,0.00000,0.930424,0.722711,7.40004,0.00000,0.00000
291,1,65,27.3399,29.8223,77852.8,90.8114,23.4752,51.4786,13.1614,134.000,1.00000,893.078,0.407868E-01,0.923588,0.724411,7.67338,0.00000,0.291045E-02
291,1,70,30.5713,28.1426,77699.9,88.2226,24.1095,43.0453,12.8221,130.000,0.962828,836.089,0.00000,0.936876,0.738629,7.75363,0.00000,0.713077E-01
291,1,75,28.7058,28.8494,78735.1,87.6054,24.6767,43.4742,12.2507,129.000,1.00000,769.170,0.245120E-02,0.923230,0.711623,7.34099,0.00000,0.298450E-02
291,1,80,25.1931,29.7166,79747.7,84.4187,25.7243,39.6666,12.6016,136.000,1.00000,837.354,0.730664E-01,0.922883,0.727154,7.01877,0.00000,0.119118E-01
291,1,85,30.2720,27.8119,76500.4,80.9278,26.4651,30.4389,11.3418,135.000,0.921041,737.690,0.00000,0.947363,0.765069,7.56366,0.00000,0.190667
291,1,90,29.2917,26.0850,77868.4,74.4407,27.9337,18.5802,11.0690,128.000,0.931842,711.796,0.00000,1.01853,0.841237,8.01549,0.00000,0.670391
291,1,95,29.5838,28.3769,77908.8,83.1538,28.7259,28.6597,11.1105,137.000,0.931125,819.738,0.00000,0.941317,0.758970,7.05456,0.00000,0.941971E-01
291,1,100,33.3895,28.5303,77615.7,79.4139,30.0002,19.3676,11.5969,136.000,1.00000,875.561,0.00000,1.04767,0.881336,8.13736,0.00000,0.908419
291,1,105,35.7545,29.6519,78587.4,84.2577,31.1067,23.3330,12.4355,137.000,1.00000,945.524,0.00000,1.01678,0.825738,7.88238,0.00000,0.569087
291,1,110,33.9105,29.0094,77706.4,79.4629,31.4097,22.3465,10.0006,142.000,0.934328,837.330,0.00000,0.947164,0.790884,7.29379,0.00000,0.382042
291,1,115,33.8596,29.6774,79137.4,76.0994,32.6055,17.6214,11.3215,139.000,0.958375,848.061,0.00000,0.966600,0.819920,7.44746,0.00000,0.771331
291,1,120,28.8265,26.4066,77240.1,72.6683,33.6663,15.8751,9.20554,131.000,0.869013,695.309,0.00000,0.970156,0.787043,7.24258,0.00000,0.393511
291,1,125,31.9810,29.0327,78757.0,77.7143,34.6908,18.3265,10.5399,128.000,0.928357,805.541,0.00000,0.964075,0.760924,7.08492,0.00000,0.369609
291,1,130,33.1303,29.3949,79163.9,80.0721,35.6322,16.1981,11.0308,140.000,0.909071,842.920,0.00000,0.961964,0.793659,7.11554,0.00000,0.414857
291,1,135,27.0605,28.7702,78087.8,77.8744,36.7724,15.1751,9.56371,127.000,1.00000,839.314,0.297124E-03,1.09399,0.831400,7.25107,0.00000,0.425827
291,1,140,35.2397,27.9030,77724.4,69.0534,37.6161,12.9630,10.4053,129.000,0.906940,716.759,0.00000,0.990772,0.729789,7.18521,0.00000,0.616396
291,1,145,26.4548,27.0340,79186.1,73.4377,38.5352,13.8861,8.49755,130.000,0.985524,752.786,0.160688E-03,1.03370,0.761462,7.21857,0.00000,0.545846
291,1,150,27.0851,28.5010,79155.2,72.3601,39.4778,14.1319,8.48787,138.000,0.909940,781.719,0.621016E-03,0.962387,0.796120,6.67516,0.00000,0.785507
291,1,155,36.6972,28.9567,77760.2,81.2252,40.2352,18.1351,10.0562,137.000,0.921407,866.389,0.00000,0.984191,0.725595,7.16807,0.00000,0.527408
291,1,160,29.4319,29.9116,77254.6,78.1847,40.8624,18.2298,9.83839,145.000,1.00000,932.124,0.400938E-03,0.970343,0.758036,6.82361,0.00000,0.721656
291,1,165,35.5940,28.1176,79417.3,68.4319,41.9215,14.1601,9.64259,127.000,0.873426,769.954,0.00000,0.991517,0.709826,7.47380,0.00000,0.772087
291,1,170,26.9869,26.2593,74801.8,63.8181,43.1698,13.7661,8.73901,132.000,0.933355,801.011,0.00000,0.986483,0.725857,7.36448,0.00000,0.828600
291,1,175,25.4770,28.1784,78707.7,64.7342,44.5753,14.3429,9.01252,129.000,1.00000,819.661,0.479339E-03,0.991984,0.719448,7.08611,0.00000,0.771008
291,1,180,31.5829,28.3608,78238.9,62.6115,46.3179,14.0638,9.07230,133.000,1.00000,766.601,0.00000,0.995510,0.694426,6.96032,0.00000,0.757971
291,1,185,35.9583,27.8071,77048.3,57.4627,48.5698,13.3132,8.82481,132.000,0.929878,748.312,0.00000,0.994794,0.750119,7.07657,0.00000,0.827727
291,1,190,31.8989,28.7699,77974.2,53.2633,51.4100,13.4262,9.98142,131.000,1.00000,847.640,0.00000,1.01992,0.745474,7.22568,0.00000,0.781833
291,1,195,30.3936,26.4198,76224.7,47.5971,54.8773,12.2498,9.43114,134.000,0.967592,792.802,0.00000,1.01118,0.714111,7.23354,0.00000,0.743134
291,1,200,30.6496,27.3351,76954.4,38.7311,59.0234,10.6579,11.2491,129.000,1.00000,774.683,0.00000,1.03831,0.680504,7.29617,0.00000,0.682133
