siteID,runID,year,genus,degday_death,drought_death,shade_death,perm_death,flood_death,nutrient_death,fire_death,harv_death,wind_death,mean_diam,total_biomC,total_biomC_sd
632,2,45,Betula,0.00000,0.00000,0.252617,0.00000,0.00000,0.181952E-01,0.00000,0.00000,0.00000,4.10213,0.270812,0.495088
632,2,45,Larix,0.00000,0.00000,0.820935E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.37772,0.820936E-01,0.165003
632,2,45,Picea,0.00000,0.00000,0.457293,0.00000,0.00000,0.659951E-01,0.00000,0.00000,0.00000,4.59982,0.523288,0.401812
632,2,45,Populus,0.00000,0.00000,0.117580,0.00000,0.00000,0.931058,0.00000,0.00000,0.00000,5.22598,1.04864,3.16735
632,2,45,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,50,Alnus,0.00000,0.00000,0.377611E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00514,0.377611E-01,0.176051
632,2,50,Betula,0.00000,0.00000,0.197818,0.00000,0.00000,0.731101E-01,0.00000,0.00000,0.00000,3.27324,0.270928,0.648999
632,2,50,Larix,0.00000,0.00000,0.735205E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.89278,0.735205E-01,0.172590
632,2,50,Picea,0.00000,0.00000,0.477341,0.00000,0.00000,0.108796,0.00000,0.00000,0.00000,4.82348,0.586137,0.476943
632,2,50,Populus,0.00000,0.00000,0.156944,0.00000,0.00000,1.05691,0.00000,0.00000,0.00000,5.80105,1.21385,4.02022
632,2,50,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,55,Alnus,0.00000,0.00000,0.190910E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.498435,0.190910E-01,0.129340
632,2,55,Betula,0.00000,0.00000,0.111543,0.599164E-01,0.00000,0.686647E-01,0.00000,0.00000,0.00000,2.78422,0.240125,0.657980
632,2,55,Larix,0.00000,0.00000,0.712191E-01,0.213834E-01,0.00000,0.00000,0.00000,0.00000,0.00000,1.97434,0.926024E-01,0.223791
632,2,55,Picea,0.00000,0.00000,0.454555,0.995196E-01,0.00000,0.102652,0.00000,0.00000,0.00000,4.99427,0.656726,0.610883
632,2,55,Populus,0.00000,0.00000,0.483552E-01,0.187922E-01,0.00000,0.570086,0.00000,0.00000,0.00000,2.90370,0.637233,2.86967
632,2,55,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,60,Alnus,0.00000,0.00000,0.127732E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.294949,0.127732E-01,0.105518
632,2,60,Betula,0.00000,0.00000,0.114921,0.00000,0.00000,0.115956,0.00000,0.00000,0.00000,2.08345,0.230877,0.836830
632,2,60,Larix,0.00000,0.00000,0.756356E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.49189,0.756356E-01,0.244264
632,2,60,Picea,0.00000,0.00000,0.615416,0.00000,0.00000,0.239718,0.00000,0.00000,0.00000,5.70177,0.855135,0.812541
632,2,60,Populus,0.00000,0.00000,0.753791E-01,0.00000,0.00000,1.04958,0.00000,0.00000,0.00000,3.85905,1.12496,5.42244
632,2,60,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,65,Alnus,0.00000,0.00000,0.153060E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.358330,0.153060E-01,0.119293
632,2,65,Betula,0.00000,0.00000,0.896618E-01,0.395263E-01,0.00000,0.135076,0.00000,0.00000,0.00000,2.23274,0.264264,0.907098
632,2,65,Larix,0.00000,0.00000,0.459676E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.11807,0.459676E-01,0.182498
632,2,65,Picea,0.00000,0.00000,0.579446,0.239172E-01,0.00000,0.272071,0.00000,0.00000,0.00000,6.25484,0.875434,0.801503
632,2,65,Populus,0.00000,0.00000,0.350191E-01,0.772165E-03,0.00000,0.387847,0.00000,0.00000,0.00000,2.14896,0.423638,2.39240
632,2,65,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,70,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,70,Betula,0.00000,0.779713E-01,0.330847E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.888047,0.111056,0.643872
632,2,70,Larix,0.00000,0.00000,0.774190E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.18701,0.774190E-01,0.297518
632,2,70,Picea,0.00000,0.901101,0.234904,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.09124,1.13600,1.13431
632,2,70,Populus,0.00000,0.00000,0.369264E-02,0.00000,0.00000,0.260935,0.00000,0.00000,0.00000,1.72887,0.264628,1.17309
632,2,70,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,75,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,75,Betula,0.00000,0.00000,0.163938,0.00000,0.00000,0.133905,0.00000,0.00000,0.00000,1.77566,0.297843,1.17059
632,2,75,Larix,0.00000,0.00000,0.964393E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.26261,0.964393E-01,0.369089
632,2,75,Picea,0.00000,0.00000,0.843813,0.00000,0.00000,0.540617,0.00000,0.00000,0.00000,7.82711,1.38443,1.40347
632,2,75,Populus,0.00000,0.00000,0.265107E-02,0.00000,0.00000,0.111725,0.00000,0.00000,0.00000,0.742154,0.114376,0.909160
632,2,75,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,80,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,80,Betula,0.00000,0.00000,0.208111E-02,0.00000,0.00000,0.149241,0.00000,0.00000,0.00000,0.981210,0.151322,0.937937
632,2,80,Larix,0.00000,0.00000,0.101403,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.45721,0.101403,0.372992
632,2,80,Picea,0.00000,0.00000,0.700463,0.00000,0.00000,0.444154,0.00000,0.00000,0.00000,7.67746,1.14462,1.47295
632,2,80,Populus,0.00000,0.00000,0.184876E-02,0.00000,0.00000,0.180304,0.00000,0.00000,0.00000,0.837944,0.182153,1.26782
632,2,80,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,85,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,85,Betula,0.00000,0.00000,0.978901E-01,0.00000,0.00000,0.425758E-01,0.00000,0.00000,0.00000,0.775820,0.140466,1.00714
632,2,85,Larix,0.00000,0.00000,0.660533E-01,0.809100E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.966929,0.741443E-01,0.347876
632,2,85,Picea,0.00000,0.00000,0.747394,0.00000,0.00000,0.483255,0.00000,0.00000,0.00000,8.62294,1.23065,1.49427
632,2,85,Populus,0.00000,0.00000,0.767001E-02,0.00000,0.00000,0.833538E-01,0.00000,0.00000,0.00000,0.482818,0.910238E-01,0.850416
632,2,85,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,90,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,90,Betula,0.00000,0.00000,0.961493E-03,0.00000,0.103346,0.00000,0.00000,0.00000,0.00000,0.567379,0.104307,0.844585
632,2,90,Larix,0.00000,0.00000,0.192426E-01,0.00000,0.399765E-01,0.00000,0.00000,0.00000,0.00000,0.700179,0.592192E-01,0.357987
632,2,90,Picea,0.00000,0.00000,0.273697,0.573160E-01,0.952581,0.00000,0.00000,0.00000,0.00000,9.11428,1.28359,1.65079
632,2,90,Populus,0.00000,0.00000,0.189122E-03,0.00000,0.758393E-02,0.00000,0.00000,0.00000,0.00000,0.241218,0.777306E-02,0.668626E-01
632,2,90,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,95,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,95,Betula,0.00000,0.116479,0.252321E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.647759,0.119002,0.951618
632,2,95,Larix,0.00000,0.333055E-01,0.117012,0.440456E-01,0.00000,0.00000,0.00000,0.00000,0.00000,1.59682,0.194363,0.733398
632,2,95,Picea,0.00000,1.09239,0.356205E-02,0.155227E-01,0.00000,0.00000,0.00000,0.00000,0.00000,8.35266,1.11147,1.90050
632,2,95,Populus,0.00000,0.00000,0.133974E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.128186,0.133974E-02,0.131815E-01
632,2,95,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,100,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,100,Betula,0.00000,0.00000,0.754892E-02,0.00000,0.00000,0.582560E-01,0.00000,0.00000,0.00000,0.368130,0.658049E-01,0.829093
632,2,100,Larix,0.00000,0.00000,0.103282,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00460,0.103282,0.565504
632,2,100,Picea,0.00000,0.00000,0.778954,0.00000,0.00000,0.945869,0.00000,0.00000,0.00000,9.51857,1.72482,2.39240
632,2,100,Populus,0.00000,0.00000,0.139037E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.506224E-01,0.139037E-02,0.191399E-01
632,2,100,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,105,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,105,Betula,0.00000,0.00000,0.314006E-04,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.115670E-01,0.314006E-04,0.444071E-03
632,2,105,Larix,0.00000,0.00000,0.439235E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.472150,0.439235E-01,0.366270
632,2,105,Picea,0.00000,1.00621,0.207430,0.442260E-02,0.00000,0.00000,0.00000,0.00000,0.00000,8.08275,1.21807,2.08667
632,2,105,Populus,0.00000,0.00000,0.561613E-02,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.132774,0.561613E-02,0.747306E-01
632,2,105,Salix,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,110,Alnus,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,110,Betula,0.00000,0.00000,0.544248E-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.240564,0.544248E-01,0.767542
632,2,110,Larix,0.00000,0.00000,0.141068,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.04766,0.141068,0.725844
632,2,110,Picea,0.00000,0.00000,0.596028,0.00000,0.00000,0.773311,0.00000,0.00000,0.00000,7.45959,1.36934,2.38735
