siteID,runID,year,gdd_death,drought_death,shade_death,perm_death,flood_death,nutrient_death,fire_death,harvest_death,wind_death,gddresp_1,gddresp_2,gddresp_3,gddresp_4,droughtresp_1,droughtresp_2,droughtresp_3,droughtresp_4,shaderesp_1,shaderesp_2,shaderesp_3,shaderesp_4,permresp_1,permresp_2,permresp_3,permresp_4,floodresp_1,floodresp_2,floodresp_3,floodresp_4,nutrientresp_1,nutrientresp_2,nutrientresp_3,nutrientresp_4,Loreys_height,Loreys_height_sd,max_height,max_height_sd,total_biomC,total_biomC_sd,basal_area,basal_area_sd,total_stems,total_stems_sd,small_stems,small_stems_sd,med_stems,med_stems_sd,lg_stems,lg_stems_sd,stand_age,stand_age_sd,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_8,LAI_9,LAI_10,LAI_11,LAI_12
632,2,100,0.00000,0.00000,1.21599,0.00000,0.00000,1.44024,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.08546,1.14444,1.13762,2.00000,1.03359,1.11067,1.13329,1.97669,1.08546,1.14444,1.13762,2.00000,1.08546,1.14444,1.13762,2.00000,1.08444,1.14273,1.13590,1.97860,13.4010,1.58399,27.2670,0.997130,42.6073,10.4302,16.2653,2.91365,1716.80,1952.57,1013.70,1909.73,539.200,370.358,163.900,52.5796,52.5250,24.1694,28.5453,20.3695,12.5242,6.56959,2.37110,0.159092,0.531861E-02,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,105,0.00000,1.40279,0.345643,0.568602E-02,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.09056,1.13829,1.13999,1.98510,1.04134,1.12007,1.14773,1.97357,1.09997,1.15296,1.15235,2.00000,1.09997,1.15302,1.15242,2.00000,1.09879,1.15122,1.15052,1.97860,13.8934,1.73786,27.7911,1.07075,40.8805,11.3024,15.5794,2.94255,2193.20,2519.70,1584.20,2485.45,457.200,346.120,151.800,52.0607,54.5300,27.6948,25.7479,19.1697,12.1841,6.64105,2.63248,0.260480,0.375162E-02,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,110,0.00000,0.00000,1.07267,0.00000,0.00000,1.11222,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.12395,1.19118,1.17208,2.00000,1.04965,1.15137,1.16616,1.96309,1.12395,1.19118,1.17208,2.00000,1.12395,1.19118,1.17208,2.00000,1.12248,1.18893,1.16995,1.97860,21.0345,3.48877,28.4672,1.20092,41.3321,11.7797,15.5489,2.79257,2681.90,2926.52,2124.20,2890.00,415.200,364.772,142.500,54.7608,49.8700,34.2288,26.1043,19.1547,12.4310,6.97393,3.02271,0.457780,0.489728E-02,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,115,0.00000,0.00000,0.944646,0.00000,0.00000,0.767002,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.14441,1.21932,1.18031,2.00000,1.05806,1.17671,1.17345,1.94174,1.14441,1.21932,1.18031,2.00000,1.14441,1.21932,1.18031,2.00000,1.14270,1.21675,1.17811,1.97860,14.6802,2.27144,28.9904,1.34290,41.8056,11.9232,15.5456,2.72697,2566.60,2628.50,2014.90,2534.78,411.400,454.846,140.300,57.2565,51.6500,36.5505,26.1852,18.9358,12.4743,7.16323,3.31332,0.686078,0.604154E-02,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,120,0.00000,0.00000,0.791934,0.332137,0.00000,1.27732,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.15720,1.26471,1.18424,2.00000,1.06625,1.21164,1.17701,1.93317,1.15508,1.26060,1.18029,2.00000,1.15720,1.26471,1.18424,2.00000,1.15533,1.26159,1.18198,1.97860,14.8149,1.88332,29.3434,1.77636,41.0019,12.3744,15.1694,2.93738,2485.00,2489.22,1847.00,2315.36,501.900,630.710,136.100,56.0580,53.3800,38.9869,26.0909,18.5385,12.3271,7.21467,3.47796,0.875149,0.315294E-02,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,125,0.00000,0.00000,0.833804,0.709609E-01,0.00000,1.21367,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.18715,1.33137,1.21893,1.79424,1.07530,1.26582,1.20928,1.78983,1.18712,1.33064,1.21639,1.79424,1.18715,1.33137,1.21893,1.79424,1.18494,1.32747,1.21622,1.78278,20.2390,3.29930,29.7788,1.90677,40.8237,12.1249,15.0096,2.94287,2415.50,2401.41,1689.50,2224.75,597.400,740.429,128.600,55.7276,52.9250,41.4228,25.9659,18.1060,12.0922,7.23436,3.60677,1.09327,0.336602E-02,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,130,0.00000,0.00000,0.832310,0.747995E-01,0.00000,0.825050,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.19199,1.40595,1.30830,1.63133,1.08116,1.32689,1.29145,1.62889,1.19136,1.40353,1.30481,1.62768,1.19199,1.40595,1.30830,1.63133,1.18973,1.40119,1.30455,1.62244,16.5325,3.07057,30.1349,2.27207,41.2049,12.6859,15.0735,3.05260,2352.00,2359.52,1562.40,2211.51,670.100,785.005,119.500,53.7419,54.8650,43.8487,26.1887,17.9380,11.9193,7.27714,3.72603,1.26115,0.190892E-01,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,135,0.00000,0.00000,0.949750,0.179605E-01,0.00000,1.13303,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.18026,1.41843,1.38129,1.60838,1.07692,1.33174,1.35534,1.60601,1.18023,1.41766,1.38018,1.60585,1.18026,1.41843,1.38129,1.60838,1.17812,1.41351,1.37673,1.59983,14.5957,2.38119,30.1350,3.06618,40.9836,13.6712,14.9321,3.40001,2171.20,2145.10,1335.50,1943.97,727.200,789.756,108.500,51.6049,58.2300,46.2543,26.3791,17.8287,11.6813,7.25869,3.82980,1.44426,0.526615E-01,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,140,0.00000,0.00000,1.06201,0.00000,0.416088E-01,1.06044,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.15640,1.40857,1.45710,1.59847,1.06778,1.33667,1.42948,1.59582,1.15640,1.40857,1.45710,1.59847,1.15634,1.40692,1.45516,1.59515,1.15456,1.40366,1.45168,1.59014,20.7296,3.99197,30.1438,3.41318,40.1078,13.9051,14.6838,3.81625,2105.80,2185.04,1267.00,2047.91,741.000,787.992,97.8000,48.8579,58.5950,47.9050,26.1309,17.4647,11.1996,6.96257,3.70478,1.46022,0.776548E-01,0.00000,0.00000,0.00000,0.00000,0.00000
632,2,145,0.00000,0.00000,0.871986,0.102352,0.00000,0.898156,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,1.00000,1.12514,1.36043,1.46197,1.61303,1.05513,1.28872,1.43276,1.61014,1.12491,1.35788,1.45709,1.60506,1.12514,1.36043,1.46197,1.61303,1.12367,1.35607,1.45647,1.60452,17.4658,2.47373,30.0621,4.00535,40.3786,14.1688,14.7127,4.01598,1907.40,1955.09,1072.50,1782.32,743.100,756.233,91.8000,48.9976,61.9050,50.7555,26.3689,17.5410,11.0297,6.86043,3.73308,1.57488,0.143156,0.00000,0.00000,0.00000,0.00000,0.00000
